wbic,county,lakePerimeter_m,lakeArea_m2,buildingCount50m,buildingCount100m,buildingCount200m,buildingDensity50m,buildingDensity100m,buildingDensity200m,surveyYear
2962900,Vilas,10617.70298,2606495.64,23,50,67,2.166193576,4.70911647,6.31021607,2017
2963800,Vilas,21873.2653,3158076.708,95,151,181,4.343201562,6.903404587,8.274941923,2017
2964100,Vilas,8067.892465,1362958.074,45,101,165,5.577664823,12.51875883,20.45143769,2017
1884100,Washburn,6538.149987,1982615.3,48,90,102,7.341526288,13.76536179,15.60074336,2016
2106800,Washburn,70965.19833,14074976.55,441,731,824,6.214313641,10.30082374,11.61132526,2016
2107700,Washburn,7104.423313,510659.4779,1,13,19,0.140757378,1.829845918,2.674390188,2016
2112800,Washburn,12276.03873,1316807.475,37,52,65,3.014001569,4.235894097,5.294867622,2016
2113000,Washburn,11656.5805,1473106.185,64,97,155,5.490460947,8.321479872,13.29721011,2016
2451900,Washburn,4711.039506,758209.0264,5,27,28,1.061336886,5.731219185,5.943486563,2016
2470000,Washburn,6102.283077,717905.148,14,77,83,2.294223297,12.61822813,13.60146669,2016
2496300,Washburn,18976.00597,10171220.35,10,252,433,0.526981284,13.27992837,22.81828961,2016
2691500,Washburn,16879.71613,3064628.586,85,175,193,5.035629709,10.36747293,11.43384157,2016
2695800,Washburn,11329.45975,1502830.147,32,107,127,2.824494787,9.444404446,11.20971369,2016
2710800,Washburn,4321.369751,1079990.014,24,49,58,5.553794603,11.33899731,13.42167029,2016
