Age 0 to age 1 mortality with PE for cultivation/depensation ms,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Lagged,,,,,,
WBICYR(Age 0),MWBC,COUNTY,LAKE,AREA,YEAR,WRC (at Age0),Avg AGE0CPE (t),Avg Age1CPE (t+1),Adult PE (t),Adult no./acre,Surv.,M,S,M,,,Age0,M,
23347002013,2334700,VILAS,BIG L (BOULDER JCT),835,2013,NR,38.9583333,27.7083333,2927,3.505389222,0.71,0.29,,,,,,,
29638001999,2963800,VILAS,BIG L (MI BORDER),771,1999,NR,67.1014493,7.826087,4480,5.810635538,0.12,0.88,,,,,,,
29638002014,2963800,VILAS,BIG L (MI BORDER),771,2014,NR,22.1014493,6.5942029,7814,10.13488975,0.30,0.70,,,,,,,
27068001990,2706800,BURNETT,BIG MCKENZIE L,1185,1990,C-,5.2112676,2.1126761,3880,3.274261603,0.41,0.59,,,,,,,
27068001996,2706800,BURNETT,BIG MCKENZIE L,1185,1996,C-,7.88732395,1.1267606,2327,1.96371308,0.14,0.86,,,,,,,
18353001989,1835300,VILAS,BIG MUSKELLUNGE L,930,1989,NR,73.5294118,2.745098,4719,5.074193548,0.04,0.96,,,,,,,
18353001991,1835300,VILAS,BIG MUSKELLUNGE L,930,1991,NR,47.254902,5.3921569,8014,8.617204301,0.11,0.89,,,,,,,
18353001996,1835300,VILAS,BIG MUSKELLUNGE L,930,1996,NR,31.2745098,16.6666667,4631,4.979569892,0.53,0.47,,,,,,,
18353002005,1835300,VILAS,BIG MUSKELLUNGE L,930,2005,NR,59.7938144,9.0721649,3265,3.510752688,0.15,0.85,,,,,,,
18353002011,1835300,VILAS,BIG MUSKELLUNGE L,930,2011,NR,95.8823529,20.3947368,8235,8.85483871,0.21,0.79,,,,,,,
18353002013,1835300,VILAS,BIG MUSKELLUNGE L,930,2013,NR,72.745098,12.1568627,5396,5.802150538,0.17,0.83,,,,,,,
18353002016,1835300,VILAS,BIG MUSKELLUNGE L,930,2016,NR,45.6862745,4.8039216,3634,3.907526882,0.11,0.89,,,,,,,
16295002006,1629500,VILAS,BIG PORTAGE L,638,2006,NR,22.9411765,8.0882353,3186,4.993730408,0.35,0.65,,,,,,,
16295002012,1629500,VILAS,BIG PORTAGE L,638,2012,NR,60.2941176,14.8529412,2359,3.697492163,0.25,0.75,,,,,,,
16295002016,1629500,VILAS,BIG PORTAGE L,638,2016,NR,44.8529412,5,3244,5.084639498,0.11,0.89,,,,,,,
26274001991,2627400,POLK,BIG ROUND L,1015,1991,ST,0.3508772,0,2012,1.98226601,0.00,1.00,,,,,,,
16026001989,1602600,VILAS,BIG SAND L,1418,1989,ST,3.9622642,3.2075472,1506,1.062059238,0.81,0.19,,,,,,,
15911001986,1591100,VILAS,BIG ST GERMAIN L,1617,1986,C-,38.2894737,17.1052632,5693,3.520717378,0.45,0.55,,,,,,,
15911001992,1591100,VILAS,BIG ST GERMAIN L,1617,1992,C-,23.9473684,1.6666667,3482,2.153370439,0.07,0.93,,,,,,,
15911001994,1591100,VILAS,BIG ST GERMAIN L,1617,1994,C-,89.2105263,30.6578947,4558,2.818800247,0.34,0.66,,,,,,,
15911002006,1591100,VILAS,BIG ST GERMAIN L,1617,2006,C-NR,14.6052632,2.3684211,8203,5.072974644,0.16,0.84,,,,,,,
15911002011,1591100,VILAS,BIG ST GERMAIN L,1617,2011,C-ST,41.1842105,22.8947368,4843,2.995052566,0.56,0.44,,,,,,,
15911002017,1591100,VILAS,BIG ST GERMAIN L,1617,2017,C-ST,35.5263158,9.342105263,2908,1.798392084,0.26,0.74,,,,,,,
16122001994,1612200,ONEIDA,BIG STONE L,548,1994,NR,58.125,49.1666667,1513,2.760948905,0.85,0.15,,,,,,,
16122002007,1612200,ONEIDA,BIG STONE L,548,2007,C-NR,32.0833333,12.7083333,1400,2.554744526,0.40,0.60,,,,,,,
23111001990,2311100,VILAS,BIRCH L,528,1990,NR,20.1587302,1.5873016,584,1.106060606,0.08,0.92,,,,,,,
27425002016,2742500,BAYFIELD,BONY L,191,2016,C-NR,4.0740741,0,231,1.209424084,0.00,1.00,,,,,,,
4187001996,418700,OCONTO,BOOT L,235,1996,NR,4.8387097,1.6129032,547,2.327659574,0.33,0.67,,,,,,,
4187002016,418700,OCONTO,BOOT L,235,2016,C-NR,0.7894737,0,248,1.055319149,0.00,1.00,,,,,,,
23383001995,2338300,VILAS,BOULDER L,524,1995,NR,70.3947368,54.8333333,2282,4.354961832,0.78,0.22,,,,,,,
23383001999,2338300,VILAS,BOULDER L,524,1999,NR,83.1666667,8.2089552,2796,5.335877863,0.10,0.90,,,,,,,
23383002006,2338300,VILAS,BOULDER L,524,2006,NR,91.3333333,21.3333333,2255,4.303435115,0.23,0.77,,,,,,,
23383002013,2338300,VILAS,BOULDER L,524,2013,NR,184.3333333,46.1666667,2028,3.870229008,0.25,0.75,,,,,,,
22726001991,2272600,ONEIDA,BUCKSKIN L,634,1991,ST,92.0634921,86.8253968,1988,3.135646688,0.94,0.06,,,,,,,
22726001992,2272600,ONEIDA,BUCKSKIN L,634,1992,ST,21.2698413,19.8412698,3684,5.810725552,0.93,0.07,,,,,,,
22726001995,2272600,ONEIDA,BUCKSKIN L,634,1995,C-ST,38.8888889,0,5948,9.38170347,0.00,1.00,,,,,,,
22726002006,2272600,ONEIDA,BUCKSKIN L,634,2006,C-NR,14.2857143,4.6031746,3964,6.252365931,0.32,0.68,,,,,,,
29038002010,2903800,BAYFIELD,BUSKEY BAY,100,2010,NR,0.4166667,0.4166667,203,2.03,1.00,0.00,,,,,,,
6924001988,692400,FOREST,BUTTERNUT L,1292,1988,NR,118.875,61.33333335,5174,4.004643963,0.52,0.48,,,,,,,
6924001989,692400,FOREST,BUTTERNUT L,1292,1989,NR,160.625,36.375,4766,3.688854489,0.23,0.77,,,,,,,
22833001990,2283300,PRICE,BUTTERNUT L,1006,1990,NR,9.75,0,1999,1.987077535,0.00,1.00,,,,,,,
6924001991,692400,FOREST,BUTTERNUT L,1292,1991,NR,135.5,22.5,2134,1.651702786,0.17,0.83,,,,,,,
6924001992,692400,FOREST,BUTTERNUT L,1292,1992,NR,0.625,0.5,6721,5.202012384,0.80,0.20,,,,,,,
6924001993,692400,FOREST,BUTTERNUT L,1292,1993,NR,3,1.125,5997,4.641640867,0.38,0.63,,,,,,,
6924001994,692400,FOREST,BUTTERNUT L,1292,1994,NR,165,1,4803,3.71749226,0.01,0.99,,,,,,,
6924001995,692400,FOREST,BUTTERNUT L,1292,1995,NR,19.625,1.25,3644,2.820433437,0.06,0.94,,,,,,,
22833001996,2283300,PRICE,BUTTERNUT L,1006,1996,C-NR,89.5535714,39.4642857,4165,4.140159046,0.44,0.56,,,,,,,
6924001996,692400,FOREST,BUTTERNUT L,1292,1996,NR,34.125,13.91666667,3416,2.643962848,0.41,0.59,,,,,,,
6924001997,692400,FOREST,BUTTERNUT L,1292,1997,NR,35.45833333,8.458333333,6525,5.050309598,0.24,0.76,,,,,,,
6924001998,692400,FOREST,BUTTERNUT L,1292,1998,NR,34.16666667,24.375,5138,3.976780186,0.71,0.29,,,,,,,
