"wbic","county","lakePerimeter_m","lakeArea_m2","buildingCount50m","buildingCount100m","buildingCount200m","buildingDensity50m","buildingDensity100m","buildingDensity200m"
2329000,"Vilas",7869.40507326462,2084726.06552239,40,118,149,NA,NA,NA
2329300,"Vilas",9574.06946819571,1125548.65325192,109,284,351,NA,NA,NA
2329400,"Vilas",13565.5005307884,2006569.77183111,171,341,407,NA,NA,NA
2329600,"Vilas",4604.76577088335,1069566.4209702,43,90,114,NA,NA,NA
2329800,"Vilas",6035.72897852545,1554266.74633987,31,86,116,NA,NA,NA
2331600,"Vilas",32448.0845362342,15638240.9604015,131,304,448,NA,NA,NA
2332400,"Vilas",9422.64192250082,1641117.50509178,0,0,0,NA,NA,NA
2334300,"Vilas",6288.72853627264,1052179.07396462,91,176,234,NA,NA,NA
2334400,"Vilas",19988.4775332513,3501526.94278968,140,280,355,NA,NA,NA
2334700,"Vilas",15215.5543809539,3347132.84987111,58,117,128,NA,NA,NA
2338300,"Vilas",11219.2725210718,2086688.13161022,57,153,207,NA,NA,NA
2339800,"Vilas",9993.31452597905,1130855.59038769,5,20,21,NA,NA,NA
2340500,"Vilas",3944.32303866682,456967.14407575,8,23,29,NA,NA,NA
2340700,"Vilas",8994.41297531672,2033907.1369117,35,75,98,NA,NA,NA
2340900,"Vilas",6622.02689706438,1694270.01334539,0,5,10,NA,NA,NA
2953500,"Vilas",27509.3973524076,3678157.10357357,97,147,158,NA,NA,NA
2953800,"Vilas",6715.98478870012,787028.707328947,47,67,75,NA,NA,NA
2954500,"Vilas",11134.8331065772,1243188.01764326,73,123,138,NA,NA,NA
2954800,"Vilas",23181.4346047312,2117169.71593329,156,301,333,NA,NA,NA
2956500,"Vilas",15998.4593522007,4715123.54146111,124,295,353,NA,NA,NA
2956700,"Vilas",2568.49305271606,274095.386699102,5,8,9,NA,NA,NA
2956800,"Vilas",8522.38523405219,930841.025583119,77,140,158,NA,NA,NA
2958500,"Vilas",9217.25784980419,2160769.00030957,32,118,144,NA,NA,NA
2962400,"Vilas",10183.6102123752,1833588.7633816,20,26,35,NA,NA,NA
2962900,"Vilas",10617.7029845361,2606495.63986256,23,50,67,NA,NA,NA
2963800,"Vilas",21873.2652983722,3158076.70770315,95,151,181,NA,NA,NA
2964100,"Vilas",8067.89246476699,1362958.07430141,45,101,165,NA,NA,NA
1884100,"Washburn",6538.14998657535,1982615.30011421,48,90,102,NA,NA,NA
2106800,"Washburn",70965.1983276116,14074976.5479657,441,731,824,NA,NA,NA
2107700,"Washburn",7104.42331313676,510659.47791059,1,13,19,NA,NA,NA
2112800,"Washburn",12276.0387309647,1316807.47469069,37,52,65,NA,NA,NA
2113000,"Washburn",11656.5804984475,1473106.18464012,64,97,155,NA,NA,NA
2451900,"Washburn",4711.03950592514,758209.026391012,5,27,28,NA,NA,NA
2470000,"Washburn",6102.28307657537,717905.147988457,14,77,83,NA,NA,NA
2496300,"Washburn",18976.0059737791,10171220.3469791,10,252,433,NA,NA,NA
2691500,"Washburn",16879.7161257583,3064628.58621091,85,175,193,NA,NA,NA
2695800,"Washburn",11329.4597469325,1502830.14702057,32,107,127,NA,NA,NA
2710800,"Washburn",4321.36975070545,1079990.01437651,24,49,58,NA,NA,NA
2294900,"Iron",337150.944209177,52376648.7280249,NA,NA,NA,NA,NA,NA
