wbic,Secchi_satellite,Secchi,Calcium,Conductance,Alkalinity,pH,totalP,Color,Dissolved OC,MEI
47500,1.590776543,1.5,NA,293,132,8.7,NA,2,NA,NA
47700,1.520362192,2.1,NA,165,78,7.6,NA,4,NA,NA
48000,NA,2,NA,362,150,8.1,NA,1,NA,NA
48100,NA,1,NA,352,141,8.9,NA,4,NA,NA
48300,0.896501132,2.1,NA,155,83,7.8,NA,1,NA,NA
48600,1.626520421,0.9,NA,258,141,7.5,NA,4,NA,NA
48700,NA,2,NA,381,205,7.8,NA,2,NA,NA
48760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48800,NA,1,NA,153,80,9.1,NA,5,3.9,NA
48900,NA,2,NA,248,136,8,NA,1,NA,NA
49100,NA,2,NA,313,138,9.5,NA,4,NA,NA
49300,NA,3,NA,408,250,8.2,NA,4,NA,NA
49400,NA,2,NA,250,161,8.5,NA,1,NA,NA
49800,2.762058502,1.5,NA,448,218,8.3,NA,1,NA,106.6666667
52200,0.33445458,1.8,NA,512,NA,NA,NA,NA,NA,NA
52500,0.541447412,0.3,NA,517,NA,NA,NA,NA,NA,NA
52900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54600,0.802774688,1.05,59,519,270,8.3,0.038,NA,NA,NA
55300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56200,1.116681463,1,21,302,140.5,7.9,0.018,4,NA,NA
56600,NA,4.5,NA,527,278,8.4,NA,4,NA,NA
56700,NA,NA,NA,530,275,8.4,NA,5,NA,NA
57900,0.873668466,1.8,NA,430,238,8.4,NA,1,NA,NA
58000,1.095024898,3.9,43,356.5,205,8.35,NA,4,NA,132.037037
58200,NA,1,NA,413,242,8.4,NA,1,6,NA
58400,1.331731205,1.5,48,478,258,8.1,0.584,NA,NA,796.6666667
58900,2.243615442,0.6,NA,466,272,8.6,NA,1,NA,NA
59300,7.894582079,5.1,NA,379,166,8.4,NA,4,NA,27.46376812
60500,2.936145932,1.8,NA,519,125,8.7,NA,4,NA,346
60800,2.023718016,2.4,50.8125,533.8764793,204,8.110518519,NA,4,NA,93.66254023
60900,0.338086177,0.3,NA,541,248,8.7,NA,1,NA,257.6190476
61200,0.872003618,1.5,NA,585,264,8.5,NA,4,NA,NA
62700,0.783346047,0.6,NA,381,206,8.8,NA,5,NA,NA
63600,NA,4,NA,320,118,8.9,NA,4,NA,NA
63700,NA,3,NA,398,188,8.5,NA,4,NA,NA
63800,NA,2,NA,313,192,8.2,NA,4,NA,NA
64000,3.961857992,2.5,34,352.5,151,8.266666667,0.023,4,NA,58.75
64200,0.958391858,2.4,66,516.5,187,8.4,NA,4,NA,68.86666667
64300,NA,3,NA,417,258,8,NA,1,NA,NA
65600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66200,NA,2,NA,386,203,8.1,NA,4,NA,NA
66600,NA,2,NA,381,203,8,NA,1,NA,NA
66800,0.830416819,1.2,NA,460,188,7.4,NA,5,NA,127.7777778
67100,NA,2,NA,344,235,8.6,NA,4,NA,NA
67200,1.680851476,3.3,NA,344,120,8.6,NA,4,3.1,57.33333333
67400,0.458315404,0.3,NA,366,200,8.6,NA,4,NA,76.25
67700,NA,1,NA,420,237,7.5,NA,1,NA,NA
67900,NA,2,NA,336,138,7.9,NA,5,NA,NA
68100,1.48636667,1.5,NA,259,138,8.9,NA,4,NA,NA
68300,1.459425026,0.6,NA,221,137,8.3,NA,4,NA,56.66666667
68400,NA,4,NA,400,212,8.2,NA,4,NA,NA
68600,0.683741201,2.1,NA,435,130,8.4,NA,2,NA,65.90909091
68700,NA,2,NA,308,166,8.6,NA,1,NA,NA
69000,NA,2,NA,426,244,8.2,NA,4,NA,NA
69800,0.404765313,0.9,NA,217,92,8.6,NA,4,NA,NA
70000,0.406817606,1.2,NA,208,101,9.3,NA,4,NA,NA
70100,NA,1,NA,253,128,8.4,NA,5,NA,NA
70700,NA,2,NA,214,93,8.3,NA,4,NA,NA
71700,0.833061043,1.2,NA,523,273,8.7,NA,1,NA,NA
72100,1.883427155,1.5,NA,247,164,8.8,NA,2,NA,NA
72700,NA,1,NA,480,272,8.3,NA,5,NA,NA
72800,1.055531063,0.9,NA,413,134,8.4,NA,5,NA,76.48148148
73100,NA,0.3,NA,568,NA,NA,NA,NA,NA,NA
74300,NA,1,NA,653,236,9.1,NA,5,NA,NA
74700,NA,2,NA,475,242,8.3,NA,1,NA,NA
74800,NA,4,NA,504,275,8.2,NA,4,NA,NA
74900,NA,NA,NA,202,124,8.6,NA,1,NA,NA
75200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77300,0.656231159,0.6,NA,350,62,8,NA,5,NA,72.91666667
77500,0.465271554,1.5,NA,262,148,7.8,NA,4,NA,NA
77600,0.354321284,0.3,NA,267,115,9,NA,5,NA,111.25
79100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79500,NA,3,NA,381,224,8.4,NA,4,NA,NA
79600,0.971454463,0.9,49,345,170,7.65,NA,1,NA,NA
79800,0.522042282,0.6,NA,584,NA,NA,NA,NA,NA,973.3333333
81000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81200,1.757183058,0.3,NA,529,NA,NA,NA,NA,NA,587.7777778
82800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82900,1.75792875,0.6,NA,340,153,8.3,NA,2,NA,113.3333333
83000,NA,1,NA,333,167,8.2,NA,1,5,NA
83100,0.720387798,0.9,NA,103,30,7.9,NA,2,NA,NA
83700,1.130646019,0.6,NA,283,181,8.3,NA,1,NA,NA
84600,1.493985574,1.8,NA,267,120,8.6,NA,5,NA,44.5
84700,NA,2,NA,105,40,7.5,NA,1,NA,NA
85000,NA,2,NA,345,172,8.3,NA,2,NA,NA
85200,3.046208928,2.95,28,303,142.5,8.05,0.027,1,NA,72.14285714
85300,1.262786695,2.1,NA,368,169,8.1,NA,2,NA,NA
85400,2.447630968,1.5,NA,381,147,8.1,NA,2,NA,115.4545455
87900,2.400186405,2.4,NA,127,103,8.3,NA,5,NA,38.48484848
89800,NA,1,NA,331,154,8.2,NA,2,NA,NA
90600,NA,1,NA,223,103,7.4,NA,4,NA,NA
91400,NA,2,NA,368,155,7.7,NA,2,NA,NA
92600,0.677791023,0.6,NA,355,200,8.2,NA,1,NA,NA
92700,NA,0.6,NA,387,175,8.2,NA,4,NA,NA
92900,NA,1,NA,538,213,8.3,NA,4,NA,NA
93100,2.5644443,2.4,17,277,141,8.3,0.008,4,NA,153.8888889
93200,NA,2,NA,135,68,7.4,NA,1,NA,NA
93300,1.112637019,1.8,NA,195,92,9,NA,4,NA,NA
93400,0.210956599,0.6,NA,463,259,8.4,NA,4,NA,NA
93500,1.344537715,2.4,NA,245,77,8.4,NA,4,NA,136.1111111
93700,1.197501196,0.6,NA,472,134,8.5,NA,1,NA,NA
93800,NA,2,NA,550,138,8,NA,4,4.3,NA
94200,1.467470587,2.4,NA,471,120,8.1,NA,4,NA,92.35294118
94300,2.543537955,3,NA,490,154,8.1,NA,1,NA,108.8888889
94500,NA,2,NA,666,222,8.4,NA,4,NA,NA
94700,0.999275104,1.8,NA,584,125,7.5,NA,2,NA,92.6984127
95100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95700,0.452869928,2.1,NA,347,NA,NA,NA,NA,NA,578.3333333
96900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97300,0.26971814,0.3,NA,452,238,8.2,NA,4,NA,NA
97700,4.259815018,3,NA,487,150,7.9,NA,4,NA,231.9047619
97900,0.29091007,1.5,NA,264,136,8.7,NA,4,NA,NA
98300,NA,1,NA,403,150,8,NA,4,NA,NA
