wbic,year,adults.acre
1600300,1993,0.426966292
1601300,1993,2.485436893
1602300,2004,2.55
1602300,1991,2.93
1602300,2010,6.01
1602300,2001,7.63
1602600,1994,1.68
1603400,1993,2.31
1603700,1993,2.94
1603700,2000,3.56
1603800,1993,3.11
1603800,2000,7.87
1605800,2008,1.29
1605800,1997,2.67
1605800,1992,4.86
1609000,1994,1.39
1609100,1994,2.04
1610400,1994,0.84
1610500,1994,0.84
1610600,1994,7.91
1610700,1994,3.62
1610700,2007,5.86
1610800,2007,1.27
1611700,1994,4.86
1611800,1994,4.87
1612200,1995,2.55
1612200,1994,2.76
1612900,1994,1.31
1613000,1994,3.55
1613500,1994,1.04
1614300,1994,0.67
1618100,2006,1.85
1619700,1994,0.41
1621000,2010,0.39
1621800,2010,0.47
1623700,1991,0.04
1623700,1998,1.46
1623700,2002,1.7
1623800,1998,1.46
1623800,2002,1.7
1623800,1991,2.26
1623800,2007,3.04
1623800,1996,4.12
1629500,1991,3.3
1629500,2006,4.99
1630100,2011,0.87
1630100,1993,1.18
1630100,2008,1.52
1631900,1997,1.45
1631900,1996,1.91
1631900,2009,1.95
1631900,1991,2.4
1631900,2006,2.44
1631900,2000,2.78
1631900,1990,4.54
1835300,2005,3.51
1835300,1996,4.98
1835300,1991,8.62
1835300,2011,8.85
1848400,1992,0.12
1855900,1993,1.22
1880700,2004,1.04
1880700,2004,1.04
1880700,2007,1.62
1880700,2005,1.85
1880700,2006,2.43
1880700,2006,2.43
1880700,2006,2.43
1880700,2006,2.43
1880700,2001,2.45
1880700,2011,2.67
1880700,2009,2.98
1880700,2000,2.99
1880700,2000,2.99
1880700,2000,2.99
1880700,2002,3.15
1880700,2010,4.19
1880700,1997,4.36
1880700,1997,4.36
1880700,1997,4.36
1880700,1996,4.37
1880700,2008,4.41
1880700,2003,4.72
1880700,1999,5.46
1880700,1993,5.87
1880700,1995,6.5
1880700,1994,7.15
1881100,2009,1.74
1881900,1996,2.59
1881900,2006,4.31
1881900,1991,7.28
1884100,2010,0.88
2046500,2006,7.47
2046500,2011,13.75
2046600,1993,2.44
2068000,1998,0.29
2068000,1998,0.29
2068000,1998,0.29
2079700,2004,1.08
2079700,1992,3.76
2079700,2011,5.28
2079800,2008,0.89
2079800,2011,1.07
2079800,1992,4.03
2081200,1993,0.62
2081200,2006,0.68
2098000,2010,0.69
2100300,2009,5.44
2100800,1994,1.38
2103200,2010,1.4
2105100,2010,0.49
2105100,2000,1.22
2105100,1996,1.53
2106800,2003,0.94
2106800,1998,1.34
2106800,2001,1.51
2106800,1991,1.76
2106800,2009,2.1
2106800,1990,2.3
2106800,1994,3.11
2109600,2001,1.94
2109600,2005,2.03
2109600,2005,2.03
2109600,2005,2.03
2109600,2010,2.47
2109800,2005,0.45
2112800,2009,1.62
2112800,2005,3.4
2113300,2010,1.48
2113300,1997,1.74
2113300,2005,4.51
2152800,2011,1.02
2152800,2006,2.07
2166100,2000,1.77
2236800,2002,7.09
2242500,2003,3.92
2242500,1994,5.3
2242500,2000,6.05
2266100,2002,1.3
2267800,1991,4.23
2267800,2005,4.85
2267800,2005,4.85
2267800,2005,4.85
2267800,2005,4.85
2267800,2005,4.85
2267800,1998,5.04
2268300,1998,2.37
2268300,2005,2.88
2268300,1991,3.89
2268500,2005,1.7
2268500,1998,2.51
2268500,1991,11.28
2268600,1998,0.39
2268600,2005,0.92
2268600,1991,1.81
2271600,1997,1.48
2271600,2002,2.85
2271600,2005,2.94
2271600,2003,3.06
2271600,2004,3.06
2271600,2010,3.29
2271600,2009,3.32
2271600,1993,3.38
2271600,2001,3.5
2271600,2008,3.59
2271600,2003,3.67
2271600,1994,3.76
2271600,1995,3.79
2271600,2000,3.83
2271600,2011,3.9
2271600,2011,3.9
2271600,1996,3.99
2271600,1999,4.21
2271600,1999,4.21
2271600,1999,4.21
2271600,1998,4.33
2271600,2007,5.03
2271600,1990,5.36
2271600,2006,5.42
2271600,1992,5.72
2271600,1991,5.91
2272600,1991,3.14
2272600,1992,5.81
2272600,2006,6.25
2272600,1999,6.7
2272600,1995,9.38
2272600,1996,12.12
2275100,2010,3
2275100,1995,5.88
2283300,1990,1.99
2283300,1998,3.56
2283300,2003,4.05
2283300,2003,4.05
2283300,1996,4.14
2283300,2009,6.05
2294900,2009,4
2294900,2009,4
2294900,1997,4.04
2294900,1997,4.04
2294900,1992,4.35
2295200,1997,4.48
2295200,1992,4.99
2295200,2009,5.68
2303500,2010,1.49
2303500,1994,1.56
2303500,1996,1.57
2303500,2001,1.93
2306300,1998,2.68
2309700,1995,1.36
2310200,1991,1
2310200,2010,2.96
2310400,2010,8.05
2310400,1991,9.2
2311100,1997,0.91
2311100,1990,1.11
2311700,1991,1.82
2316600,2005,1.26
2316600,1990,3.54
2327500,1999,3.07
2327500,2004,3.28
2327500,1993,3.83
2328700,1990,1.11
2328700,1997,1.91
2328700,2004,2.77
2328700,1994,3.05
2328800,1993,0.32
2328800,2004,1.46
2328900,2004,1.46
2329000,2004,2.84
2329000,1999,2.91
2329000,1993,3.58
2329300,2004,1.46
2329300,1999,1.74
2329300,1993,2.98
2329400,2004,0.95
2329400,1993,1
2329400,1999,2.03
2329600,1993,3.83
2329600,2004,6.07
2329600,1999,9.72
2329800,1999,0.66
2329800,2004,0.7
2329800,1993,1.1
2330800,2002,1.38
2331600,2010,1.51
2331600,2004,1.71
2331600,2003,1.94
2331600,2001,2.04
2331600,1997,2.14
2331600,2000,2.36
2331600,1994,2.53
2331600,2007,3.12
2332300,1991,1.39
2332300,1999,6.45
2332300,2007,14.35
2332400,1995,0.98
2332400,2010,1.2
2334300,2004,0.95
2334300,1999,2.03
2334300,1993,2.52
2334400,2004,3.42
2334400,1993,3.51
2334400,1999,6.53
2334700,2006,2.91
2334700,2001,3.15
2334700,1990,3.36
2334700,1995,4.03
2336100,1993,1.99
2336100,1994,2.99
2336100,2006,3.36
2336100,1996,3.52
2336100,2005,3.9
2336100,2010,4.1
2336100,2004,4.32
2336100,2000,4.51
2336100,1995,4.82
2336100,1997,5.02
2336100,2001,5.38
2336100,2003,5.69
2336100,1999,5.71
2336100,2008,6.34
2336100,1998,6.62
2336100,2002,7.4
2338300,2006,4.3
2338300,1995,4.35
2338300,1999,5.34
2338800,2010,1.37829912
2338800,2002,1.631964809
2338800,2004,1.87
2338800,2006,1.907624633
2338800,2003,1.93
2338800,2001,2.303519062
2338800,2007,2.527859238
2338800,2009,2.57771261
2338800,2008,2.782991202
2338800,2000,3.282991202
2338800,1993,4.282991202
2338800,1994,6.071847507
2338800,1997,6.409090909
2338800,1998,6.488269795
2338800,1999,7.102639296
2338800,1996,7.217008798
2338800,1995,7.560117302
2339100,2005,1.4
2339100,1992,3.28
2339800,1995,3.65
2339800,1994,4.42
2339900,2004,2.85
2339900,2004,2.85
2339900,2004,2.85
2339900,2003,2.89
2339900,2003,2.89
2339900,2003,2.89
2339900,1996,3.42
2339900,1996,3.42
2339900,1996,3.42
2339900,2002,3.71
2339900,2002,3.71
2339900,2002,3.71
2339900,1995,4.73
2339900,1995,4.73
2339900,1995,4.73
2339900,1995,4.73
2339900,1999,4.97
2339900,1999,4.97
2339900,1999,4.97
2339900,2000,5.18
2339900,2000,5.18
2339900,2000,5.18
2339900,2000,5.18
2339900,2005,5.99
2339900,2005,5.99
2339900,2005,5.99
2339900,2001,6.16
2339900,2001,6.16
2339900,2001,6.16
2339900,2006,7.48
2339900,2006,7.48
2339900,2006,7.48
2339900,1992,7.69
2339900,1992,7.69
2339900,2009,7.89
2339900,2008,7.97
2339900,1998,8.51
2339900,1998,8.51
2339900,1998,8.51
2339900,2010,8.81
2339900,1997,9.77
2339900,1997,9.77
2339900,1997,9.77
2339900,2007,11.07
2339900,2007,11.07
2339900,2007,11.07
2339900,2007,11.07
2339900,2007,11.07
2339900,1994,12.01
2339900,1994,12.01
2339900,1994,12.01
2339900,2011,12.86
2339900,1991,13.7
2339900,1991,13.7
2339900,1993,15.14
2339900,1993,15.14
2339900,1990,17.22
2339900,1990,17.22
2340500,2011,1.41
2340500,1991,2.69
2340500,2001,10.66
2340700,1991,5.17
2340700,2001,10.32
2343200,2009,2.22
2343200,1991,2.63
2343200,1993,5.63
2344000,2009,1.56
2344000,2005,2.05
2344000,1991,3.43
2344000,1993,3.61
2350200,1995,1.8
2350400,1995,0.53
2350500,1995,3.78
2350600,1995,0.48
2351400,2005,3.27
2351400,1994,4.67
2351400,2000,5.13
2351400,1995,6.22
2351400,2008,6.73
2353600,2002,0.95
2355300,2000,2.49
2359700,2003,1.49
2381100,2005,1.08
2390800,2000,1.03
2390800,2010,1.1
2390800,1991,1.31
2390800,2001,1.49
2390800,1998,1.7
2390800,1996,1.99
2391200,2006,1.13
2391200,2000,1.18
2391200,1994,1.24
2391200,2009,1.89
2391200,2003,2.14
2392000,2002,1.58
2392000,1993,2.05
2393200,2000,1.5
2393200,2007,2.84
2393200,1991,2.97
2393200,1991,2.97
2393500,2010,2.44
2393500,2006,3.69
2393500,1997,6.42
2393500,1991,7.67
2395100,1993,0.81
2395500,2003,0.22
2395500,2008,0.32
2395600,2010,0.83
2395600,2003,1.32
2395600,1998,2.1
2395600,1991,3.15
2396800,2000,4.11
2399700,2011,3.07
2399700,1990,5.24
2399700,1999,5.36
2399700,1999,5.36
2401300,2004,0.31
2403200,2008,0.84
2417000,2010,3.41
2417000,1990,4.43
2417000,1991,4.9
2417000,2004,5.26
2417000,2000,7.27
2418600,1991,0.4
2418600,2000,0.43
2418600,2004,0.54
2418600,1990,0.61
2420600,1995,2.8
2423000,2005,1.21
2429300,2001,0.87
2435000,2004,1.13
2435700,2008,1.46
2435700,2002,2.04
2436400,2004,1.14
2436500,2004,1.125
2451900,2003,3.239361702
2451900,2007,3.324468085
2451900,2011,3.45212766
2451900,2008,3.473404255
2451900,2002,3.734042553
2451900,2002,3.734042553
2451900,2002,3.734042553
2451900,2009,3.824468085
2451900,2006,3.840425532
2451900,2010,3.904255319
2451900,1999,4.122340426
2451900,1999,4.122340426
2451900,1999,4.122340426
2451900,1999,4.122340426
2451900,2001,4.60106383
2451900,1998,4.845744681
2451900,2005,5.25
2451900,2005,5.25
2451900,2005,5.25
2451900,2000,5.281914894
2451900,1993,5.87
2451900,2004,5.872340426
2451900,1996,10.70744681
2451900,1997,11.39361702
2451900,1995,12.20212766
2461100,2000,0.63
