wbic,Area,Length,MaxDepth,MeanDepth
103600,271375.7222,4169.713367,5.4,NA
103700,72165.31028,1418.793527,0.6,NA
103800,55834.55056,955.494191,3.6,NA
103900,1173482.218,5692.691589,1.5,0.6
104000,896641.4065,4658.853118,23.7,NA
104100,29844.64139,756.681143,0.9,NA
104200,179944.6944,1754.867561,8.7,3.6
104300,117478.5715,1328.229583,9.6,3.6
104400,41065.77793,744.399176,2.4,NA
104500,31820.276,677.10122,NA,NA
104600,168241.0385,1601.991699,9.9,NA
104700,191654.2987,2305.965712,9,3
104800,43279.07422,856.196745,8.4,NA
104900,10952.17356,525.708753,1.2,NA
105200,317467.3773,2725.530488,6.9,NA
105300,20020.9741,519.126796,NA,NA
105600,33376.04565,714.492593,NA,NA
105700,105464.8624,1448.266115,2.1,NA
105800,111744.6217,1544.295264,10.2,4.8
105900,63976.87439,1099.360858,1.5,NA
106000,29326.76763,876.522186,0.3,NA
106100,22169.12336,588.107445,NA,NA
106200,245260.1897,4535.977675,1.5,NA
106300,31062.61681,639.459244,NA,NA
106400,68124.77017,1044.634392,4.5,NA
106500,228936.4128,1895.410223,9,3.9
106600,157122.5159,2845.249642,3,NA
106700,98121.67364,1249.776485,5.4,NA
106800,132252.2546,1418.604182,9,NA
106900,486196.2168,3796.889373,9,4.5
107000,69877.22323,981.062138,1.5,NA
107100,97694.79596,1157.052128,4.2,NA
107200,39778.18318,1061.966123,1.8,NA
107300,69982.30871,1150.342187,6,NA
107400,32743.85957,686.853364,NA,NA
107500,125454.0254,1320.859923,3.6,2.1
107600,44351.68528,827.228744,NA,NA
107700,283017.4183,3421.289628,12.6,4.8
107800,121075.6637,1881.99276,3,NA
107900,1328607.659,7281.624503,13.5,6.3
108000,22096.45756,633.127839,NA,NA
108100,25580.52056,716.821166,NA,NA
108200,610777.4814,3230.766597,9.9,2.1
108300,24843.31676,867.753661,NA,NA
108700,12853.4708,418.149499,NA,NA
108800,22755.68155,588.499301,NA,NA
108900,25992.39175,928.861661,NA,NA
109400,13428.30729,464.303381,NA,NA
109600,11381.60657,412.914928,NA,NA
109900,27204.32441,1699.20074,NA,NA
110000,11885.49974,427.285441,NA,NA
110100,21967.98698,575.474248,NA,NA
110300,73069.14739,1508.061488,NA,NA
110450,15198.59639,526.075124,NA,NA
110500,14720.86362,568.576781,NA,NA
110900,38003.97124,2569.789371,NA,NA
111300,21581.25662,556.645656,NA,NA
111400,27119.68241,724.430089,NA,NA
111500,37805.32857,813.985776,NA,NA
111600,47400.64638,2798.895766,NA,NA
112000,43926.57004,834.442908,NA,NA
112100,10151.02993,409.167382,NA,NA
112200,18097.54313,2248.907149,NA,NA
112300,35016.30332,932.838928,NA,NA
112500,12808.59169,765.921137,NA,NA
112600,26903.54863,1575.154612,NA,NA
112800,80593.12175,3624.564866,1.5,NA
113200,15225.77104,568.847795,NA,NA
113500,41453.80631,1041.995425,0.9,NA
113600,23651.00284,641.795368,NA,NA
113700,21724.73353,558.60791,NA,NA
113800,13754.23808,437.628887,NA,NA
114050,100070.9774,2294.459992,NA,NA
114600,40219.84047,882.287735,NA,NA
115200,13101.48105,580.189895,NA,NA
115900,10332.0795,386.733611,NA,NA
116000,40799.72437,1324.091387,NA,NA
116100,62175.52314,1147.91742,NA,NA
116200,18872.1444,650.661722,NA,NA
116400,23828.08427,665.698648,NA,NA
116500,10014.21061,589.218305,NA,NA
116600,22963.05756,870.701704,NA,NA
116700,12555.70045,513.48072,NA,NA
117000,51889.6186,921.763438,7.2,NA
117100,73508.98718,1032.206292,6.6,NA
117400,174862.2661,1609.440967,5.4,1.2
117500,168146.1009,1800.621093,14.1,NA
117600,332906.5389,2509.734109,15.9,6.6
117800,201372.1161,9223.284787,4.5,NA
128800,28637.28182,2100.101567,NA,NA
