wbic,Longitude,Latitude
77300,-88.047879,44.130949
77500,-88.037588,44.137117
77600,-88.04494,44.146418
79100,-88.001506,43.992014
79300,-88.00168,43.981585
79500,-87.999635,43.977316
79600,-87.999752,43.960403
79800,-88.122407,44.025659
81000,-88.437378,43.038199
81200,-88.166856,44.025781
82800,-87.854624,44.310582
82900,-87.852646,44.426022
83000,-87.84995,44.421601
83100,-87.525847,44.445137
83700,1,44.296913
84600,-87.734074,44.29583
84700,-87.741671,44.283576
85000,-87.709195,44.34164
85200,-87.713013,44.345034
85300,-87.714664,44.351761
85400,-87.713614,44.359605
87900,-87.733487,44.284814
89800,-87.844133,44.418745
90600,-87.525309,44.457902
91400,-87.74982,44.435737
92600,-87.227803,44.893476
92700,-86.865531,45.367075
92900,-87.195239,44.948298
93100,-86.98583,45.272697
93200,-87.364274,45.191311
93300,-86.941015,45.410027
93400,-86.855304,45.374206
93500,-87.343797,45.193046
93700,-87.228764,44.885776
93800,-87.847328,44.595836
94200,-87.49905,44.545834
94300,-87.50597,44.54071
94500,-87.494579,44.56199
94700,-87.488272,44.583265
95100,-87.47401,44.607333
95700,-87.500173,44.701569
96900,-87.291204,44.82164
97300,-87.260376,44.866377
97700,-87.20188,44.937035
97900,-87.255891,45.004786
98300,-87.228697,45.071053
98600,-87.158124,45.036185
98900,-87.101877,45.084971
99100,-87.09305,45.115594
100000,-87.384016,44.847837
101100,-87.669375,44.65915
101300,-89.290379,44.137578
101400,-89.269136,43.611954
101500,-89.41048,43.819345
101600,-89.488892,44.056729
101700,-89.366732,43.805445
101800,-89.439916,44.120547
101900,-89.335563,43.543319
102000,-89.405585,43.759432
102100,-89.262247,44.069125
102200,-89.316543,44.171864
102300,-89.377579,43.813947
102500,-89.349468,43.755418
102600,-89.607272,43.770402
102700,-89.303146,43.608208
102800,-89.645283,43.781189
102900,-89.216879,44.043064
103000,-89.381423,43.811555
103100,-89.585032,43.90865
103200,-89.585566,43.884505
103300,-89.594026,43.800485
103400,-89.598548,43.863868
103600,-89.636648,43.798016
103700,-89.08394,43.723482
103800,-89.391742,43.973942
103900,-89.232474,44.065894
104000,-89.647024,43.743158
104100,-89.015255,44.023617
104200,-89.354062,43.80371
104300,-89.35286,43.652559
104400,-89.560373,43.964108
104500,-89.468122,44.065563
104600,-89.208703,44.023985
104700,-89.383644,43.977223
104800,-89.448045,44.071537
104900,-89.329477,44.155488
105200,-89.210578,44.045477
105300,-89.584657,43.646001
105600,-89.409858,44.116503
105700,-89.335647,43.688665
105800,-89.388286,44.109458
105900,-89.296156,44.029746
106000,-89.462609,43.550545
106100,-89.264899,43.885226
106200,-89.586009,43.869027
106300,-89.273022,43.94964
106400,-89.559312,43.808752
106500,-89.635011,43.775327
106600,-89.65924,43.886205
106700,-89.360556,43.809421
106800,-89.573766,43.929638
106900,-89.552281,43.98504
107000,-89.607351,43.886854
107100,-89.358169,44.100688
107200,-89.55033,43.80846
107300,-89.57301,43.879903
107400,-89.299043,43.972374
107500,-89.547943,43.95251
107600,-89.321683,43.565548
107700,-89.470552,43.554288
107800,-89.359805,43.882026
107900,-89.233329,44.054513
108000,-89.242922,44.048078
108100,-89.341577,44.097566
108200,-89.291562,43.929196
108300,-89.397473,44.113095
108700,-89.538322,43.563265
108800,-89.541372,43.563881
108900,-89.437127,43.621018
109400,-89.6863,43.670823
109600,-89.358725,43.719024
109900,-89.628281,43.772327
110000,-89.62156,43.762988
110100,-89.626095,43.755342
110300,-89.663604,43.744851
110450,-89.523372,43.805929
