wbic,Developed,Barren,Forest,Shrub.Scrub,Grassland,Pasture.hay,CultivatedCrops,Wetlands
48100,0,0,0.2,0,0,0.269565217,0.530434783,0
48300,0.157142857,0,0.471428571,0,0.092857143,0,0.178571429,0.1
48600,0.038834951,0,0.310679612,0,0,0.058252427,0.262135922,0.330097087
48700,0.050505051,0,0.949494949,0,0,0,0,0
48760,0.228723404,0,0.425531915,0,0.10106383,0.127659574,0.117021277,0
48790,0.035087719,0,0.122807018,0,0.035087719,0.50877193,0.298245614,0
48800,0.033613445,0,0.084033613,0,0.050420168,0.31092437,0.521008403,0
48900,0,0,0.588785047,0,0,0.074766355,0.112149533,0.224299065
49100,0,0,0,0,0,0.791208791,0,0.208791209
49300,0,0,0.510638298,0.010638298,0,0.159574468,0.053191489,0.265957447
49400,0,0,0.020618557,0,0,0.072164948,0,0.907216495
49800,0.014705882,0,0.220588235,0,0,0.051470588,0.485294118,0.227941176
52200,0.258139535,0,0.102325581,0,0,0.411627907,0.044186047,0.18372093
52500,0,0,0.33411215,0.004672897,0,0.063084112,0.331775701,0.26635514
52900,0.082474227,0,0.206185567,0,0,0.010309278,0.701030928,0
53000,0,0,0.359223301,0,0,0.165048544,0.388349515,0.087378641
54600,0.704035874,0,0.112107623,0.152466368,0,0,0,0.031390135
55300,0.02892562,0,0.227272727,0,0,0.012396694,0.148760331,0.582644628
55600,0.206666667,0,0.393333333,0,0,0.206666667,0,0.193333333
56000,0.02265625,0,0.02109375,0.004296875,0.001953125,0.01953125,0.09921875,0.83125
56200,0,0,0.016563147,0,0,0.062111801,0.008281573,0.913043478
56600,0,0,0.52,0,0,0,0.224,0.256
56700,0,0,0.333333333,0,0,0,0.047619048,0.619047619
57900,0.058823529,0,0,0,0,0,0,0.941176471
58000,0.301038062,0,0.038062284,0,0.003460208,0.269896194,0.301038062,0.08650519
58200,0.00877193,0,0.184210526,0,0,0.166666667,0.350877193,0.289473684
58400,0.035502959,0,0.218934911,0,0.00887574,0.112426036,0.550295858,0.073964497
58900,0.003882915,0,0.001194743,0,0,0.001194743,0.00776583,0.985961768
59300,0.196992481,0,0.496240602,0.037593985,0.003007519,0.037593985,0.163909774,0.064661654
60500,0,0,0.062015504,0,0,0,0,0.937984496
60800,0.245989305,0,0.090909091,0,0,0.168449198,0.328877005,0.165775401
60900,0,0,0.124223602,0,0,0.180124224,0.192546584,0.50310559
61200,0.162790698,0,0.156976744,0,0,0.122093023,0.040697674,0.51744186
62700,0.095890411,0,0.095890411,0,0,0.308219178,0.369863014,0.130136986
63600,0.147727273,0,0.693181818,0,0,0,0.159090909,0
63700,0.103703704,0,0.607407407,0,0,0.037037037,0.140740741,0.111111111
63800,0.036585366,0,0.585365854,0,0,0.134146341,0.231707317,0.012195122
64000,0.302816901,0,0.345070423,0.102112676,0.028169014,0.066901408,0.070422535,0.084507042
64200,0.147540984,0,0.360655738,0.032786885,0,0.032786885,0.234972678,0.191256831
64300,0.19047619,0,0.452380952,0,0.011904762,0.107142857,0.035714286,0.202380952
65600,0.327683616,0,0.231638418,0,0,0.327683616,0.016949153,0.096045198
66200,0,0,0,0,0.010204082,0.755102041,0,0.234693878
66600,0.091743119,0,0,0,0,0.403669725,0.055045872,0.449541284
66800,0.115384615,0,0.027472527,0,0,0.461538462,0.098901099,0.296703297
67100,0,0,0,0,0,0.476635514,0,0.523364486
67200,0.116071429,0,0.098214286,0,0,0.34375,0,0.441964286
67400,0.230769231,0,0.142533937,0,0,0.2239819,0.015837104,0.386877828
67700,0.019417476,0,0,0,0,0.019417476,0,0.961165049
67900,0,0,0,0,0,0.462365591,0.182795699,0.35483871
68100,0.309178744,0,0.111111111,0,0,0.178743961,0.400966184,0
68300,0.12992126,0,0.062992126,0,0,0.12992126,0.204724409,0.472440945
68400,0,0,0.742268041,0,0,0.092783505,0.092783505,0.072164948
68600,0.107692308,0,0,0,0.115384615,0.230769231,0.546153846,0
68700,0.06097561,0,0.365853659,0,0,0,0.37804878,0.195121951
69000,0.053191489,0,0,0,0,0.031914894,0.223404255,0.691489362
69800,0.10483871,0.024193548,0.516129032,0,0.072580645,0,0.096774194,0.185483871
70000,0,0,0.645833333,0,0.020833333,0,0.076388889,0.256944444
70100,0.049382716,0,0.037037037,0,0,0.049382716,0.135802469,0.728395062
70700,0.164705882,0,0.152941176,0,0,0.682352941,0,0
71700,0,0,0,0,0,0.02173913,0,0.97826087
72100,0,0,0,0,0,0,0,1
72700,0,0,0.047619048,0,0,0.476190476,0,0.476190476
72800,0.166666667,0,0,0,0,0.78,0.053333333,0
73100,0.196242171,0,0.141962422,0,0,0.415448852,0.118997912,0.127348643
74300,0.030769231,0,0.207692308,0.192307692,0.269230769,0.3,0,0
74700,0.057471264,0,0.24137931,0,0,0.103448276,0,0.597701149
74800,0,0,0.522522523,0,0,0.18018018,0.009009009,0.288288288
74900,0,0,0.24742268,0,0.103092784,0.298969072,0.350515464,0
75200,0.06741573,0,0.037453184,0,0,0.194756554,0,0.700374532
77200,0,0,0,0,0,0.004464286,0,0.995535714
